deleteN 0, test_accuracy : 0.736842
deleteN 20, test_accuracy : 0.736842
deleteN 40, test_accuracy : 0.736842
deleteN 60, test_accuracy : 0.684211
deleteN 80, test_accuracy : 0.684211
deleteN 100, test_accuracy : 0.684211
deleteN 120, test_accuracy : 0.736842
deleteN 140, test_accuracy : 0.736842
deleteN 160, test_accuracy : 0.736842
deleteN 180, test_accuracy : 0.736842
deleteN 200, test_accuracy : 0.684211
deleteN 220, test_accuracy : 0.736842
deleteN 240, test_accuracy : 0.736842
deleteN 260, test_accuracy : 0.736842
deleteN 280, test_accuracy : 0.736842
deleteN 300, test_accuracy : 0.736842
deleteN 320, test_accuracy : 0.736842
deleteN 340, test_accuracy : 0.789474
deleteN 360, test_accuracy : 0.789474
deleteN 380, test_accuracy : 0.789474
deleteN 400, test_accuracy : 0.789474
deleteN 420, test_accuracy : 0.789474
deleteN 440, test_accuracy : 0.789474
deleteN 460, test_accuracy : 0.789474
deleteN 480, test_accuracy : 0.789474
deleteN 500, test_accuracy : 0.789474
deleteN 520, test_accuracy : 0.789474
deleteN 540, test_accuracy : 0.789474
deleteN 560, test_accuracy : 0.789474
deleteN 580, test_accuracy : 0.789474
deleteN 600, test_accuracy : 0.842105
deleteN 620, test_accuracy : 0.842105
deleteN 640, test_accuracy : 0.894737
deleteN 660, test_accuracy : 0.789474
deleteN 680, test_accuracy : 0.789474
deleteN 700, test_accuracy : 0.789474
deleteN 720, test_accuracy : 0.789474
deleteN 740, test_accuracy : 0.789474
deleteN 760, test_accuracy : 0.842105
deleteN 780, test_accuracy : 0.842105
deleteN 800, test_accuracy : 0.842105
deleteN 820, test_accuracy : 0.842105
deleteN 840, test_accuracy : 0.842105
deleteN 860, test_accuracy : 0.842105
deleteN 880, test_accuracy : 0.842105
deleteN 900, test_accuracy : 0.842105
deleteN 920, test_accuracy : 0.842105
deleteN 940, test_accuracy : 0.842105
deleteN 960, test_accuracy : 0.842105
deleteN 980, test_accuracy : 0.789474


Testing completed.

best deleteN : 640, test_accuracy : 0.894737

classifier with the highest test_accuracy has been successfully saved.
